name,market,tradePrice,marketCap,per,pbr,eps,bps,debtRatio,sales,operatingProfit,netIncome,sectorName,sectorPer,wicsSectorName,high52wPrice,low52wPrice,foreignRatio,listedShareCount,code,vol_today,vol_avg20,vol_mult,amt_avg20,ret_60d,ret_6m,vol_mult_max5,roe,op_margin,debt_pct,off_high_pct,naver_url
한올바이오파마,KOSPI,53000.0,2768753814000,-486.24,16.65,-109.0,3184.0,0.50184,40030619640.0,838726390.0,275003830.0,,46.97757,제약,73000.0,24000.0,0.0475167053,52240638,009420,445762.0,688094.9,0.6478205259187358,39329684351.25,-5.861456483126116,13.247863247863245,0.973547398767234,-3.4233668341708547,2.095212108987479,50.184,-27.397260273972602,https://finance.naver.com/item/main.naver?code=009420
티에스이,KOSDAQ,260000.0,2875971540000,73.74,7.35,3526.0,35375.0,0.30959,150671280310.0,41991772080.0,40014929160.0,,38.43166,반도체와반도체장비,269500.0,36150.0,0.1065064921,11061429,131290,311291.0,137992.05,2.255861841316221,28565781530.0,144.59078080903103,364.28571428571433,2.255861841316221,9.967491166077739,27.869791770272105,30.958999999999996,-3.525046382189234,https://finance.naver.com/item/main.naver?code=131290
CJ제일제당,KOSPI,194700.0,2931050014200,-5.46,0.44,-35668.0,440524.0,1.57976,7111120321000.0,238132400000.0,119846787000.0,,32.27991,식품,270000.0,186100.0,0.1649400373,15054186,097950,72721.0,75375.2,0.9647868264362814,15751865457.5,-2.552552552552556,-7.0644391408114515,0.9647868264362814,-8.096721177506787,3.348732537920448,157.976,-27.888888888888886,https://finance.naver.com/item/main.naver?code=097950
신영증권,KOSPI,169300.0,2783292000000,12.43,0.74,13618.0,227883.0,5.3928,705100951190.0,37021360850.0,25635900390.0,,9.54413,증권,272000.0,113200.0,0.0585298054,16440000,001720,14372.0,26865.8,0.5349552218806066,4948618222.5,-18.21256038647343,21.01501072194425,3.9132651921774153,5.975873584251568,5.250505021659521,539.28,-37.75735294117647,https://finance.naver.com/item/main.naver?code=001720
iM금융지주,KOSPI,18320.0,2942642360560,7.3,0.47,2511.0,38725.0,15.39341,3357095000000.0,193923000000.0,158242000000.0,,8.49617,은행,22000.0,11380.0,0.4518762548,160624583,139130,1012324.0,588878.15,1.7190721034563772,10528718723.5,9.963985594237702,28.111888111888117,1.7190721034563772,6.484183344092963,5.77651213325807,1539.341,-16.727272727272723,https://finance.naver.com/item/main.naver?code=139130
에스원,KOSPI,76700.0,2914536952600,14.52,1.48,5281.0,51947.0,0.45811,673714757950.0,20744829570.0,21534544260.0,,14.89985,상업서비스와공급품,103000.0,66800.0,0.5602344609,37999178,012750,251800.0,82552.65,3.0501746461197796,5875717835.0,-7.701564380264736,2.2666666666666613,3.0501746461197796,10.166130864149999,3.0791710178834446,45.811,-25.533980582524272,https://finance.naver.com/item/main.naver?code=012750
동진쎄미켐,KOSDAQ,55400.0,2823744980400,28.75,2.63,1927.0,21091.0,0.87728,328086476060.0,66593161690.0,66898996750.0,,38.43166,반도체와반도체장비,72200.0,27950.0,0.1668575236,50970126,005290,1696768.0,898361.65,1.8887360118277532,52303229673.75,10.578842315369252,53.25034578146612,1.8887360118277532,9.136598549144184,20.29744184817345,87.728,-23.26869806094183,https://finance.naver.com/item/main.naver?code=005290
DL이앤씨,KOSPI,70200.0,2716292334600,8.03,0.56,8746.0,126050.0,0.87501,1725244383030.0,157360896510.0,160136020540.0,,34.7642,건설,106600.0,38450.0,0.2246962503,38693623,375500,334783.0,541291.0,0.6184898695895553,41938031002.5,43.11926605504588,74.40993788819877,0.8266680953498211,6.938516461721539,9.12107861691057,87.50099999999999,-34.14634146341463,https://finance.naver.com/item/main.naver?code=375500
효성,KOSPI,176900.0,2961377998300,8.96,1.21,19734.0,146168.0,0.94682,530184894920.0,94601468350.0,86505412950.0,,23.44895,복합기업,318000.0,63700.0,0.2081281536,16740407,004800,19208.0,56349.45,0.340872892282001,11823098165.0,33.610271903323266,35.34812547819435,0.9624761199976221,13.500903070439493,17.843108933587118,94.682,-44.37106918238993,https://finance.naver.com/item/main.naver?code=004800
팬오션,KOSPI,4995.0,2670174712440,8.86,0.47,564.0,10707.0,0.92598,1508925000000.0,140923000000.0,94516000000.0,,9.13338,해운사,6600.0,3485.0,0.1664584512,534569512,028670,3032575.0,3414768.1,0.8880764113967212,19277262621.65,-1.08910891089109,32.49336870026524,0.987351381196281,5.267581955729896,9.33929784449194,92.598,-24.318181818181817,https://finance.naver.com/item/main.naver?code=028670
