name,market,tradePrice,marketCap,per,pbr,eps,bps,debtRatio,sales,operatingProfit,netIncome,sectorName,sectorPer,wicsSectorName,high52wPrice,low52wPrice,foreignRatio,listedShareCount,code,vol_today,vol_avg20,vol_mult,amt_avg20,ret_60d,ret_6m,vol_mult_max5,roe,op_margin,debt_pct,off_high_pct,naver_url
서울보증보험,KOSPI,42950.0,2998837634100,11.07,0.57,3844.0,74331.0,0.89738,834319781530.0,93471140830.0,57492700600.0,,8.08649,손해보험,64800.0,39650.0,0.0661815704,69821598,031210,17925.0,32698.05,0.5481978283108626,1387880632.5,-7.034632034632038,-13.75502008032129,1.528623266525068,5.171462781342912,11.203275158907283,89.738,-33.71913580246913,https://finance.naver.com/item/main.naver?code=031210
현대엘리베이터,KOSPI,71200.0,2783377812000,9.53,1.85,7258.0,37450.0,2.58814,545847163890.0,40486466880.0,27068395340.0,,166.11943,기계,113400.0,61800.0,0.2336700613,39092385,017800,87398.0,118762.5,0.7359056941374592,8114223315.0,-27.27272727272727,-23.931623931623935,1.4631133564887906,19.380507343124165,7.4171800383594,258.814,-37.21340388007055,https://finance.naver.com/item/main.naver?code=017800
일진전기,KOSPI,61100.0,2913577329000,25.75,4.54,2179.0,12347.0,1.71988,506129977000.0,50762956000.0,35906361000.0,,50.45111,전기장비,147900.0,33500.0,0.1140548709,47685390,103590,316983.0,318866.7,0.9940925157754008,18545168522.5,-57.59888965995836,-0.972447325769854,1.9049402148295824,17.648011662752086,10.029628416970844,171.988,-58.68830290736984,https://finance.naver.com/item/main.naver?code=103590
ISC,KOSDAQ,140200.0,2971827531600,47.94,5.01,2743.0,26223.0,0.16315,68272305650.0,23616393150.0,20599736750.0,,28.78716,반도체와반도체장비,292500.0,55100.0,0.3135686566,21197058,095340,217050.0,228110.2,0.9515137858806839,31684445832.5,-44.69428007889547,34.41994247363376,1.270811213176789,10.460282957708882,34.591468568631825,16.314999999999998,-52.06837606837607,https://finance.naver.com/item/main.naver?code=095340
달바글로벌,KOSPI,232000.0,2898588280000,36.32,14.95,6594.0,16022.0,0.28733,171242032410.0,45090464050.0,36337195800.0,,40.74492,화장품,275500.0,116200.0,0.4121786486,12493915,483650,103467.0,179389.15,0.5767740133670292,41675746520.0,9.433962264150942,57.181571815718144,1.9673709363135954,41.15591062289352,26.331423083113826,28.732999999999997,-15.789473684210531,https://finance.naver.com/item/main.naver?code=483650
CJ제일제당,KOSPI,197500.0,2973201735000,-5.47,0.44,-35668.0,440524.0,1.57976,7111120321000.0,238132400000.0,119846787000.0,,32.10395,식품,254000.0,172600.0,0.1550487021,15054186,097950,57646.0,51914.55,1.1104016118795212,9922872210.0,-13.755458515283847,-8.352668213457083,1.6609023867104693,-8.096721177506787,3.348732537920448,157.976,-22.24409448818898,https://finance.naver.com/item/main.naver?code=097950
유진테크,KOSDAQ,123300.0,2825547978600,62.12,5.83,1906.0,20320.0,0.22852,101873840020.0,18833542930.0,22815621570.0,,28.78716,반도체와반도체장비,231500.0,40650.0,0.3650809769,22916042,084370,160146.0,239751.8,0.6679657879523742,30449231762.5,-17.025572005383584,63.3112582781457,1.3984545684328544,9.379921259842519,18.48712380558402,22.852,-46.738660907127425,https://finance.naver.com/item/main.naver?code=084370
에스원,KOSPI,73600.0,2796739500800,13.69,1.39,5281.0,51947.0,0.45811,673714757950.0,20744829570.0,21534544260.0,,13.97279,상업서비스와공급품,103000.0,66800.0,0.556960469,37999178,012750,32697.0,61939.75,0.5278839517434281,4487031470.0,0.9602194787379892,-3.790849673202612,1.5244007281269298,10.166130864149999,3.0791710178834446,45.811,-28.543689320388353,https://finance.naver.com/item/main.naver?code=012750
SK바이오사이언스,KOSPI,34600.0,2714596733800,-47.27,1.52,-733.0,22806.0,0.4785,168610527500.0,-44535066050.0,-36164201740.0,,47.88098,제약,61300.0,31800.0,0.0587228832,78456553,302440,110001.0,88140.1,1.2480244519804264,3077118807.5,-18.2033096926714,-32.81553398058252,1.3697738032972506,-3.2140664737349818,-26.412980678208246,47.85,-43.556280587275694,https://finance.naver.com/item/main.naver?code=302440
한올바이오파마,KOSPI,53100.0,2773977877800,-477.06,16.33,-109.0,3184.0,0.50184,40030619640.0,838726390.0,275003830.0,,47.88098,제약,73000.0,26850.0,0.0339444553,52240638,009420,238019.0,376242.8,0.6326207438388189,18964008443.75,20.54483541430192,5.566600397614319,1.7508906482728706,-3.4233668341708547,2.095212108987479,50.184,-27.260273972602743,https://finance.naver.com/item/main.naver?code=009420
한미사이언스,KOSPI,40350.0,2759599042500,22.43,2.76,1748.0,14205.0,0.4948,375621281930.0,33561995850.0,42287152820.0,,47.88098,제약,55500.0,25600.0,0.0095962001,68391550,008930,224225.0,234256.15,0.9571787122771377,7898110315.0,8.760107816711592,-0.12376237623762387,1.3518620535682841,12.305526223160859,8.935062379201012,49.480000000000004,-27.297297297297295,https://finance.naver.com/item/main.naver?code=008930
DL이앤씨,KOSPI,70900.0,2743377870700,7.55,0.52,8746.0,126050.0,0.87501,1725244383030.0,157360896510.0,160136020540.0,,32.76598,건설,106600.0,38450.0,0.2562689723,38693623,375500,460362.0,337584.15,1.3636955408007159,20461439595.0,-25.681341719077565,57.20620842572062,1.3636955408007159,6.938516461721539,9.12107861691057,87.50099999999999,-33.489681050656664,https://finance.naver.com/item/main.naver?code=375500
iM금융지주,KOSPI,17290.0,2738103324320,6.87,0.45,2511.0,38725.0,15.39341,3357095000000.0,193923000000.0,158242000000.0,,8.99332,은행,22000.0,13050.0,0.458728313,158363408,139130,477569.0,583522.4,0.818424451229293,10284290357.5,-9.476439790575919,20.06944444444445,1.3745299237869875,6.484183344092963,5.77651213325807,1539.341,-21.40909090909091,https://finance.naver.com/item/main.naver?code=139130
현대무벡스,KOSDAQ,24450.0,2723144153550,230.1,16.29,103.0,1455.0,1.04315,74964780480.0,-640415170.0,-180653910.0,,166.11943,기계,50400.0,4310.0,0.0167778547,111376039,319400,1987372.0,2144891.8,0.9265604913031045,47098113080.75,-35.573122529644266,-27.123695976154995,1.8306396621032355,7.079037800687285,-0.8542880615395888,104.315,-51.488095238095234,https://finance.naver.com/item/main.naver?code=319400
보로노이,KOSDAQ,147500.0,2720356217500,-57.92,24.22,-2374.0,5678.0,0.72837,,-22001677520.0,-22002993080.0,,47.88098,제약,375500.0,97500.0,0.0820581992,18443093,310210,124835.0,95778.2,1.303375924792907,12711878397.5,-48.15465729349736,-25.842131724484663,1.7749654931915615,-41.81049665375132,,72.83699999999999,-60.719041278295606,https://finance.naver.com/item/main.naver?code=310210
